,GWP100 const,GWP100 BAU,ERF const,ERF BAU,GWP100 const 2,GWP100 BAU 2,ERF const 2,ERF BAU 2,GWP100 const 3,GWP100 BAU 3,ERF const 3,ERF BAU 3
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,-0.09008376147193486,-0.32946561470084534,-0.21111583158025946,-0.6868579598338439,-0.07099133120112222,-0.19122598448323644,-0.19823853090954066,-0.5724373855765752,-0.01909243027081265,-0.13823963021760888,-0.00966948497731722,-0.10604583016763211
2021,-0.1085969173976554,-0.3866963911608411,-0.30431840143466005,-0.9163810497954754,-0.086690712057273,-0.2324850809988228,-0.2878846517573879,-0.7832803757270523,-0.0219062053403824,-0.15421131016201825,-0.012173966195846105,-0.12260540330117553
2022,-0.12408639500127593,-0.43995954125180375,-0.38544976575552065,-1.128138991994685,-0.09971102537673265,-0.270101092982268,-0.365588533347234,-0.9762113081134488,-0.024375369624543272,-0.16985844826953578,-0.01471169183038582,-0.13967589506154043
2023,-0.1366068438387297,-0.4894166469748357,-0.4525385355398657,-1.3184024117122535,-0.11009877189860262,-0.3041915796921492,-0.429442183604035,-1.1476492435790424,-0.026508071940127075,-0.1852250672826865,-0.01722538792500059,-0.1571116723388208
