"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","0.429550243344508","0.425303502817499","0.425681550935631","0.428326627602155","0.423119644855094","0.421712675775449","0.533706595410955","0.533200220959393","0.937741930185642","1.03282757424937","1.05942037149234","1.14404451049009","1.19449405523041","1.17357704119363","1.26122906208152","1.38443712805853","1.08878820994378","1.3765294957816","1.45235229654114","1.5947325160483","1.63350492122714","1.62218681165316","1.65503488736073","1.72423059933148","1.79456251370858","1.79644703107078","1.12858679502525","5.39362560704714","0.963800892002799","0.883532980467603","1.03063523314133","1.01519766906726","1.06061480082573","1.02760149944227","1.09693121479003","1.10983294844038","1.15786868001549","1.30592435699838","1.38292183727165","","","","","","","","","","","",
"Afghanistan","AFG","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","1166.62754591281","1178.82925895222","1262.195946481","1173.21601582616","1304.33960474242","1298.32550919468","1197.87722569184","1252.97012859083","1201.13601139152","1137.6046176877","1393.59974227651","1345.29476192489","1335.66213239856","1374.80244594094","1431.3747487466","1328.16547644088","1319.08096485123","997.230119533631","1116.71028639099","734.838358941566","818.452688717353","900.554436337016","534.670255122989","557.993609951883","565.119694953126","564.278773498272","577.041189465208","601.091953168024","628.069814963578","651.833200243741","655.681641908695","649.81346808084","723.643579585109","756.765735389714","791.462750015046","826.215945657122","858.766001601604","892.088601962882","919.687289749041","","","","","","","","","","","",
"Angola","AGO","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","5566.89409678496","5503.23835465402","5701.11321386241","5892.30950954429","5963.56828974328","5866.25934759518","5453.34276289709","6091.64821023608","6214.28552646779","6264.53012880295","6303.94536355742","6151.61865794711","6153.0506461462","6326.63141360589","6434.34393849257","6529.07632072198","6679.9992286563","6908.4131712837","7165.19561198606","7221.57119224479","6842.37270246369","7017.30810258861","7246.58627060699","7154.90503894037","7030.37791372294","8151.62050951526","9668.02487457495","10101.1760387833","10864.7255174278","10879.1432630548","10241.8150117138","9843.69224657256","9883.32206488332","9665.54686612994","10047.8089328945","10563.6228899725","10291.1588562301","10555.3895635711","11033.0991086428","","","","","","","","","","","",
"Albania","ALB","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","663.567824869541","663.425426745045","698.319299048509","714.287761091403","707.149682723639","740.57369751699","760.303951722452","768.085390697438","804.673044670179","825.065596333153","825.981879538083","796.574258243068","807.296195175933","828.9038777113","857.830001381083","861.090813628705","869.411182878975","865.844928964603","880.341102774001","853.819326490614","793.70430826457","656.785384263508","554.813843680828","525.126430653801","546.135690321641","475.496662465005","466.018613684775","440.055576347928","431.6862093312","372.488318449528","383.8970255328","359.585193477088","388.05592681059","476.398566693775","545.624477778283","550.993104869508","588.135189930483","620.421027646153","649.121126175357","","","","","","","","","","","",
"Andorra","AND","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",
"Arab World","ARB","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","","139951.556090073","148198.769363467","161472.53700392","187160.65283226","178892.072789261","171200.586146954","200999.088291886","198202.388775693","196390.101863677","196813.908764746","186436.841094006","148103.232034492","131752.953627237","124189.841878029","116673.97966422","117156.670926662","126430.938589363","125806.710967933","133205.044488961","139919.186365511","135215.552140214","131397.828828979","140909.879567304","144961.947241664","149765.422087022","156223.704682405","162108.047516568","170226.616412191","174878.888909688","180258.274805844","191498.158301255","189024.154897787","192480.425468458","205935.298074709","214304.027047373","227008.371765719","236177.505982697","238807.739206326","250773.283200725","","","","","","","","","","","",
"United Arab Emirates","ARE","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","12673.8440153084","15785.5877860286","17216.0562201321","21886.7863892989","22213.0417289525","21914.9270883896","26461.6376888209","25022.0646343074","27800.5611294872","19066.3349383237","18425.922955204","14499.1554118984","13045.6750050709","12439.8392965346","15319.5682373048","14742.1919679985","12938.4773987122","12319.4993913184","11489.6992530907","12609.2699848473","12934.4413633039","13938.4680809675","14335.9705615587","14029.0249899909","14883.4189330289","16082.9792635971","17618.3497192262","17637.1772317003","17758.1062619006","17500.4467121795","19048.6058803615","18622.0540878611","19295.6940390513","20427.3715412632","20976.3793780228","21172.7158118107","22296.9024249789","22867.8435592184","22726.4339801448","","","","","","","","","","","",
"Argentina","ARG","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","6653.25985108952","6722.82204899677","6399.06059280577","6416.99758210568","7066.28005279104","6901.70538474267","7317.67032253149","7562.27952578682","8112.08756817704","8409.24933106534","8852.19344958819","8794.86048452311","9231.31720492706","9812.92103511919","10709.419009877","10836.2686033492","11404.2446849855","11841.655766861","13361.9722399425","13941.6537551016","13687.7258154414","13942.8649792667","14522.9499057921","15087.7330566607","16043.5152897451","17635.8082140311","18505.3757865955","19742.9793282203","20583.1648536047","15797.389256375","16388.4591657138","16388.9929843585","15877.6317202312","16850.7034526307","18222.6340161581","18025.0012524327","17861.5741253359","17266.6126972529","17288.5978950685","","","","","","","","","","","",
"Armenia","ARM","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","186.096861050587","198.997753081817","214.566491617729","232.764212051614","248.579237595044","257.356682982166","251.058126409106","230.41439348567","192.909141750681","156.270086885611","121.788048566559","94.5267956722621","79.8295250471718","79.0992589485806","79.5396669439046","77.2863628023592","72.9606866683923","63.3023658530572","929.205427906865","1085.36276026103","1312.42519535796","1207.1756100443","1128.11790614486","1064.14677947163","1215.42170901141","1117.27437087491","1251.97677166591","1322.2568806392","1316.43623338465","1376.18633730424","1306.29212073751","1246.14285891293","1276.42298208037","1339.84178885408","1383.51101959303","1502.67649732762","1589.5895349574","1693.87335434795","1792.58304746124","","","","","","","","","","","",
"American Samoa","ASM","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","0.000822853233122587","0.000822197949717826","0.000863367389782323","0.000857450936733568","0.000694417685789451","0.000693756101582722","0.0006924455347732","0.000689818100352187","0.000526119064666695","0.00229666332032079","0.00122720089867187","0.00211499019688548","0.00264539170662367","0.00251914463784105","0.00212906198794925","0.00176554141889082","0.00142883286247719","0.00111836084546187","0.000833577198073577","0.00072600360605932","0.000680625230279628","0.000635253155301905","0.000589876879789536","0.000544500604277167","0.000499126429032121","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","0.000453750153519752","","","","","","","","","","","",
